data_index,用户名,评论日期,电脑配置,评论内容,有用数,重复购买情况,评分,内存,硬盘,屏幕大小
2753,a***t,2026-01-07,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,包装精美保护到位，质感一流。开机速度飞快，屏幕显示效果特别清晰，看视频很享受。键盘手感也不错，处理文档、画模型非常流畅，完全满足我的需求。这次购物很满意！,0,否,5,16G,1T,UNK
2754,jd_bry7sun59o8j5j,2026-01-03,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,一直想要一本电脑，直到现在才买，都有点后悔没早买了，一开始怕是翻新机，结果到手后检查完就彻底安心了，官方直售就是靠谱,0,否,5,16G,1T,UNK
2755,l留声机,2026-01-17,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,强烈推荐！商品物超所值，质量可靠。物流快，商家服务热情，售后服务完善，终于等到了，日常办公和游戏都非常流畅。,0,否,5,16G,1T,UNK
2756,j***d,2026-01-08,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,物流很快，按照网上教程验了机，确实是全新未激活的机器。目前用着挺好的，就是确实是有一点发热的，其他性能完全OK。,0,否,5,16G,1T,UNK
2757,木***鋭,2026-01-22,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,好评！灯光效果一如往常，外形比之前好看。收到货物打开之后发现包装很好，很细致。商品的质量也还行；客服有问必答，态度好，发货速度快，总的来说，很值得购买，给五星好评！,0,该店铺购买≥2次,5,16G,1T,UNK
2758,jd_k599s6o8mhel82,2026-01-17,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,京东发货速度超快，电脑运行游戏流畅不卡顿，散热好，画质高清，玩原神崩铁类的游戏渲染挺好，按键触感好，5060显卡运行3A不成问题。笔记本电脑各个方面非常好，强力推荐。,0,该店铺购买≥2次,5,16G,1T,UNK
2759,y***z,2025-12-26,超能电竞Y7000P RTX5060/i7-14650HX/16G 1T,打开机子很惊艳，不错的电脑。一直想买一台笔记本电脑，用来做设计，我相信它会给我带来惊喜。,0,否,5,16G,1T,UNK
2760,jd_xy625fj88sgs6o,2025-12-22,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,验机了安全下车。游戏本流程读很高，打游戏也很带劲。,0,否,5,16G,1T,UNK
2761,朱笼草,2026-01-23,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,还不错，验了下是新机，通电信息，事件日志都和出厂日期对的上，用图吧烤机了半个多小时,0,该店铺购买≥2次,5,16G,1T,UNK
2762,8***7,2025-12-29,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,跟店铺介绍一样，做工精细，系统速度很快，好评！,0,否,5,16G,1T,UNK
2763,jd_138142jyk,2026-01-18,超能电竞Y7000P RTX5070/i9-14900HX/16G 1T,大小合适，运行速度快，画面清晰度高，太赞了！,0,否,5,16G,1T,UNK
2764,我***-,2026-01-26,超能电竞Y7000P RTX5060/i7-14650HX/16G 1T,拯救者 Y7000P 果然名不虚传！性能强、散热好、屏幕棒，三大核心卖点拉满。游戏满帧跑、办公不卡顿，颜值质感在线，兼顾便携与性能。细节也到位，180 度开合、大尺寸触控板、摄像头电控开关，安全感满满。不管是游戏党、学生党还是办公族，都能满足需求，这钱花得值！,0,否,5,16G,1T,UNK
2765,i***n,2025-10-27,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,购物不错不错不错，店家很耐心的指导怎么安装，物流给力服务态度很好，祝店家红红火火，下次继续光顾。给个五星好评语！好评！发货速度很快，包装也很好看，客服回消息也快，态度也好！最关键的是商品质量很好，100%正品，经得起查验，是一个不错的商家，值得购买！好评！都是最近生产的，最新日期的，商家发货速度很快，有啥问题也会及时回复，关注每一条信息细心又耐心的讲解，商品质量非常棒已经回购第二次了，是一次非常满意的购物体验[害羞R],0,该店铺购买≥2次,5,16G,1T,UNK
2766,jd_MITlMolpPDPl,2026-01-01,超能电竞Y7000P RTX5070/i9-14900HX/16G 1T,这款笔记本性能不错比起以前用的小米本感觉还是联想专业一些，屏幕清晰度非常好，电脑自带的office家用版足够用了。联想电脑多年的工程积累这样的产品非常好,0,该店铺购买≥2次,5,16G,1T,UNK
2767,jd_13k3m8d7d6o6po,2025-12-15,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,第一天下单 第二天就到了 外形还不错 大小尺寸很好,0,否,5,16G,1T,UNK
2768,德毅宝我要中亲签,2026-01-18,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,心心念念的游戏本收到了，联想大品牌错不了。给孩子买的，等孩子回来再让他具体操作！也算给他一个惊喜！下单次日就收到了，这也是选京东的原因之一！质量很好，快递也给力！,0,该店铺购买≥2次,5,16G,1T,UNK
2769,j***v,2025-12-16,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,感觉很不错，国补后的价格也很合适，也是安全下车了,0,否,5,16G,1T,UNK
2770,j***j,2026-01-09,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,i9-14900HX+RTX 5070堪称移动级性能天花板！24核32线程+5.8GHz睿频，多任务和渲染超给力；5070配DLSS 4，2K光追3A帧破百。双烤175W稳定释放，散热靠谱，搭配高刷屏，游戏办公无缝切换。全金属机身+丰富接口，兼顾质感与实用性，高端玩家和设计党闭眼冲！,0,否,5,16G,1T,UNK
2771,u_aamct3tswdjj,2026-01-24,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,联想笔记本收到运行贼快，外观精美，做工精细，办公玩游戏，看电影，清晰度简直完美，静音模式，非常贴心，功能强大，长时间使用也不发烫。3d建模渲染都能够轻松胜任,0,该店铺购买≥2次,5,16G,1T,UNK
2772,jd_pteef80u297s3t,2025-12-15,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,安全下车了 京东补贴后很合适 而且刷新率很高,0,否,5,16G,1T,UNK
2773,5ezsj599hy9htl,2025-12-23,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,送货非常快，体验感很好，电脑很棒，哈哈哈,0,该店铺购买≥2次,5,16G,1T,UNK
2774,酸汤龙利鱼,2025-12-05,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,太差了 买的劝你们慎重，总是出现卡顿问题，刚买还没有一个月呢，出现了两三次了  这次更严重 跟死机了似的，最开始我买的1060T的Y7000P 没出现这种情况 越来越差劲,0,该店铺购买≥2次,1,16G,1T,UNK
2775,家有招财猫911,2025-12-15,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,宝贝收到后非常喜欢，性价比很高，很实惠，使用起来感觉很好，非常完美.^?^.。京东自营发货神速，物流给力，买得放心，用得安心，非常好的购物体验。,0,否,5,16G,1T,UNK
2776,jd_177689hyi,2026-01-05,超能电竞Y7000P RTX5060/i7-14650HX/16G 1T,笔记本电脑收到了！包装完好无损，电脑运行速度也很快，操作起来非常简单方便。屏幕显示效果也非常出色，色彩鲜艳清晰。总之，这款笔记本电脑非常满意，我会向朋友们推荐的。,0,该店铺购买≥2次,5,16G,1T,UNK
2777,j***t,2026-01-23,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,拯救者R7000P安全下车！验机全绿，三码合一，硬盘通电5小时，电池0损耗，完美下车????,0,否,5,16G,1T,UNK
2778,j***j,2026-01-27,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,第一次买这么高配的电脑喜欢的不得了。完全解锁了steam的所有游戏，想玩啥就玩啥，玩大型3D游戏时听见散热风扇呼呼的声音就激动，为此背包、鼠标、键盘、键盘膜全部换新整上了。本子品控很攒，液晶屏几乎可以放平，C盘划了超大容量，办公毫无压力。吃了国补性价比超高，值得大家入手。,0,否,5,16G,1T,UNK
2779,j***e,2026-01-26,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,包装保护：很好没有破碎画面品质：恨清晰游戏效果：很流畅不卡顿运行速度：很稳定没有异常,0,该店铺购买≥2次,5,16G,1T,UNK
2780,0lgwkjnm3ofpy8,2025-12-19,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,可以可以 检查过了 是全新未拆封未激活的,0,否,5,16G,1T,UNK
2781,家人们-买它,2026-01-04,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,整体还不错，玩3A游戏，三角洲都没问题，目前没有什么意外，安全下车，用段时间看看,0,该店铺购买≥2次,5,16G,1T,UNK
2782,老王爱财如命,2026-01-23,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,电脑外观黑色尊贵大气！物流很快！当天就能收到货！服务也很不错！开机速度快无噪音！性能稳定！这次选的电脑不会错！玩游戏办公不二之选！,0,否,5,16G,1T,UNK
2783,jd_3l7s8j73npva65,2025-12-25,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,从包装到配置都透露着大厂质感！全尺寸键盘带数字小键盘，键程回弹超舒服，打游戏码字都顺手。接口超齐全，不用外接拓展坞太省心。杜比全景声看电影超沉浸，续航在游戏本里也很能打，京东联想售后还贴心指导装机，这波购物体验绝了！,0,否,5,16G,1T,UNK
2784,8***q,2025-12-15,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,使用了一段时间来评价，总体感受非常好，第一次买联想的笔记本，平时主要是办公，项目开发，偶尔会玩玩3游戏，各种场景轻松应对，从来没有卡死闪退等情况。散热很优秀，可以保证CPU和GPU最大限度性能释放，做工很扎实，非常喜欢。,0,否,5,16G,1T,UNK
2785,jd_73974g2u7840im,2026-01-17,超能电竞Y7000P RTX5060/i7-14650HX/16G 1T,很久之前就想买，一直没有货，正好国补，入手了，外表很高大上，键盘也很上手，唯一有缺点就是，外壳容易有手印和容易有划痕！其他都是完美！,0,否,5,16G,1T,UNK
2786,jd_1v36t16w28cw02,2025-10-18,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,这款笔记本用起来挺顺手。运行大型游戏和专业软后都很流畅。散热系统做得不错，长时间使用也能保持稳定。屏幕画质细腻，色彩表现真实。机身做工扎实，接口丰富，扩展性很好。总体来说是比较实用,0,否,5,16G,1T,UNK
2787,wx6e8919fuh068,2026-01-23,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,很清晰，包装也很好，用起来还行，主要用他进行数值模拟，我对对显卡要求不高，对CPU和内存要求高，到时候跑一下有限元分析再来追评。,0,否,5,16G,1T,UNK
2788,56v46j8b75a3m1,2026-01-15,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,非常不错的，使用起来非常流畅而且配送得很快效而且配送的很快，效率非常高。而且配送得很快效率非常高而且送得很快效率，声音很立体，而配送得很快且配送得很而且送得而配送而配而而使用起来非常流畅声音也很立体来非常流畅声音也很使用起来常流畅声音也使起来非常流畅声音使起来非常流畅声使起来非常流畅使起来非常流使用起来非常起来非使用来使起使使常不错的不,0,否,5,16G,1T,UNK
2789,jd_183038lfg,2026-01-21,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,这个游戏本观望好久了，终于入手了刚好赶上国补价格实惠，电脑外观大气，开机迅速，屏幕清晰色彩正，性能完全可满足日常办公和娱乐，非常喜欢，值得大家入手。,0,该店铺购买≥2次,5,16G,1T,UNK
2790,u_lyiy2fz55t6o,2026-01-12,超能电竞Y7000P RTX5060/i7-14650HX/16G 1T,性能强劲，运行3A大作毫无压力。144Hz电竞屏丝滑流畅，散热效果出色。外观硬朗，键盘手感舒适。拯救者Y7000P性价比极高，游戏办公两不误，非常满意！,0,该店铺购买≥2次,5,16G,1T,UNK
2791,s***9,2026-01-04,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,包装严实无损，细节处理到位，体验感很好。容易有手印，有点灰尘就嫌脏，但是特别特别好用，非常满意,0,否,5,16G,1T,UNK
2792,小风中逝去,2026-01-11,超能电竞Y7000P RTX5060/i7-14650HX/16G 1T,联想拯救者Y7000P性能强劲，散热出色，屏幕素质高，运行流畅无卡顿，外观设计简约大气，是游戏与办公兼顾的优质选择，接口配齐了，舒爽,0,该店铺购买≥2次,5,16G,1T,UNK
2793,xzqbba,2026-01-18,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,包装保护：好外形外观：漂亮画面品质：完美跑分评测：↑,0,该店铺购买≥2次,5,16G,1T,UNK
2794,o2nn45e09p4y8z,2026-01-26,超能电竞Y7000P RTX5060/i7-14650HX/16G 1T,这款联想拯救者笔记本性能强劲，散热出色，游戏运行流畅，键盘手感舒适，整体体验非常棒???? 外观设计也很酷炫，值得入手！！,0,否,5,16G,1T,UNK
2795,v***I,2026-01-12,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,这款联想电脑非常好，品牌可信,0,否,5,16G,1T,UNK
2796,j***f,2026-01-04,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,是新机，细节设计也特别贴心，全尺寸方向键+舒适的键盘手感，长时间打字、操作都不觉得累；丰富的接口配置完全不用转接器，外接显示器、键鼠、移动硬盘都很方便。,0,否,5,16G,1T,UNK
2797,jd_q8v9th0c74l00x,2026-01-17,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,联想拯救者y7000p笔记本电脑 实物与描述的一样，质量相当好，卖家态度也好，有问必答，发货速度杠杠的，值得购买哦外观设计漂亮，尺寸大小合适，包装仔细完整，宝贝手感不错，感觉很好，发货速度快，服务态度一流，给力！5星好评！感觉挺好的，有图有真相。,0,该店铺购买≥2次,5,16G,1T,UNK
2798,q6d1cyp880nvun,2026-01-10,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,一直关注这个型号的笔记本，看到这个牌子刚好有国补加优惠，就果断下单买，外观和包装都非常不错，机子性能非常强大，适合目前主流的游戏，非常好的一个机子。,0,否,5,16G,1T,UNK
2799,cl71q4x1gge3il,2026-01-25,超能电竞Y7000P RTX5060/i7-14650HX/16G 1T,??外观质感超赞，金属机身拿在手里很有分量！??开机瞬间炫酷LOGO亮起，游戏氛围直接拉满～??键盘背光绚丽多彩，打字手感舒适，长时间使用也不累。?运行流畅，散热给力，玩大型游戏毫无压力！??包装严实，物流飞快，配送员服务贴心到位～??整体体验满分，强烈推荐！,0,否,5,16G,1T,UNK
2800,jd_0z61yfvg07qrfh,2026-01-25,超能电竞Y7000P RTX5060/i7-14650HX/16G 1T,电脑收到啦，颜值超预期，黑色机身质感绝了！开机速度飞快，几秒就搞定，日常办公、追剧完全不卡顿。屏幕色彩很舒服，久看也不累眼。键盘手感轻盈，打字很流畅。续航也够用，充满电办公大半天没问题。客服态度超好，有问必答，物流也快。性价比很高运行速度：快外形外观：很酷,0,否,5,16G,1T,UNK
2801,u***g,2025-12-31,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,此用户未及时填写评价内容,0,否,5,16G,1T,UNK
2802,4***d,2026-01-14,超能电竞Y7000P RTX5060/i7-14650HX/16G 1T,此用户未及时填写评价内容,0,否,5,16G,1T,UNK
2803,j***0,2026-01-22,超能电竞Y7000P RTX5060/i7-14650HX/16G 1T,电脑收到啦，颜值超预期，机身质感绝了！开机速度飞快，几秒就搞定，日常办公、追剧完全不卡顿。屏幕色彩很舒服，久看也不累眼。键盘手感轻盈，打字很流畅。续航也够用，充满电办公大半天没问题。客服态度超好，有问必答，物流也快。性价比很高，这波入手不亏，推荐给需要的朋友～,0,否,5,16G,1T,UNK
2804,j***d,2025-12-24,超能电竞Y7000P RTX5060/i7-14650HX/16G 1T,喜欢他很久了，今天入手一台，真的很不错，外观简洁大方，机身超薄大气，键盘灵敏，运行畅快，屏幕分辨率高，清晰度超高，玩游戏不卡顿，剪视频流畅飞快，风扇噪音控制得当，散热好，背光亮度不刺眼，推荐给有需要的朋友们,0,否,5,16G,1T,UNK
2805,奔跑的可乐熊,2026-01-07,超能电竞Y7000P RTX5070/i9-14900HX/16G 1T,包装保护：除原箱外，还加了一个外箱，并添加了防碰塑料气柱外形外观：以前用的13寸，现在用16寸就感觉大了不止一星半点。唯一遗憾就是容易留下指印画面品质：用来看了看视频，自己感觉画质感觉还是不错运行速度：开关机快，自己下载的软件使用起来都很流畅,0,该店铺购买≥2次,5,16G,1T,UNK
2806,大***孩,2025-12-18,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,孩子喜欢的很。就是要去售后加内存麻烦。16g内存还是有点点小了。用起来到也没发现什么毛病。以后用多了灰大了不知道会不会差一点。别的目前看起来没有什么事。明年还要买一台不知道明年有没有国补了,0,否,5,16G,1T,UNK
2807,jd_4234qflfq4hu46,2025-12-29,超能电竞Y7000P RTX5060/i7-14650HX/16G 1T,使用流程，买来办公和玩饥荒的，很快，一点都不卡顿，显示效果也很好。不适合移动办公，电脑有点重，充电器也不小。稳稳的放在家里没问题成功激活了赠送的Office，刚开始激活不成功，换时间多试几次就好了。售后人员也耐心解答问题。物流很快，包装的很好。键盘手感还不错，没什么特别。整体都挺满意的！长时间用没发现烫手。灯光效果也满意。,1,否,5,16G,1T,UNK
2808,久牵岁,2025-12-23,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,使用了8天打2k画质拉高基本不会掉帧，画面质量也特别好，GTA5画质拉满都能流畅运行，图片拍的不是很清晰，现实屏幕画质真特别好，游戏帧数也能稳定,0,该店铺购买≥2次,5,16G,1T,UNK
2809,POPIN-DJ,2026-01-12,超能电竞Y7000P RTX5060/i7-14650HX/16G 1T,联想老品牌还是很靠谱，上一次买联想还是10年前的T450s，这次买拯救者初步使用有几个感受说下，第一外壳有点容易粘上指纹，第二就是稍微有点压手，除了这两个小毛病目前没有多的缺点，联想的机器还是不错的，整体的质感做的不错，运行起来稳定可靠，值得点赞,0,否,5,16G,1T,UNK
2810,BOTower,2026-01-10,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,很不错很好用。26年有国补了虽然少了点但还是价格很美丽很不错哈哈哈哈。电脑性能不错额外买了16g内存条升级棒棒哒。点赞点赞,0,否,5,16G,1T,UNK
2811,jd_6k2x541gxo8xda,2026-01-15,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,入手拯救者Y7000P这段时间，真的越用越香！作为又打游戏又做建模的学生党，它的性能完全够用，2.5K分辨率+240Hz刷新率的屏幕也很绝，看视频、修图色彩特别准，游戏里的细节看得清清楚楚，整体性价比真的没话说，不管是游戏党还是需要多任务创作的人，选它都不踩雷！,0,否,5,16G,1T,UNK
2812,抹茶锦鲤,2025-12-16,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,游戏机一般比较厚重，这款并没有很厚重，开机也非常快，只不过需要电脑架方便散热。日常打游戏、专业图纸绘画都能满足要求，性价比高,0,否,5,16G,1T,UNK
2813,jd_b284fjcj79v16j,2026-01-15,超能电竞Y7000P RTX5060/i7-14650HX/16G 1T,这款电子产品真是超乎我的期待！打游戏时运行流畅无比，没有丝毫卡顿，让我完全沉浸在游戏世界中。其灯光效果绚丽夺目，增添了十足的游戏氛围。外接设备也非常便捷，扩展了我的使用场景。更重要的是，它的散热性能卓越，长时间使用也不必担心过热问题。真心推荐给热爱游戏的朋友们！,0,否,5,16G,1T,UNK
2814,j***c,2025-12-23,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,此用户未填写评价内容,0,否,5,16G,1T,UNK
2815,jd_nbbrBOzKXqLb,2025-12-23,超能电竞Y7000P RTX5060/i7-14650HX/16G 1T,拯救者好评，这个价位买到这样的东西，质量真的是太好了拯救者好评，这个价位买到这样的东西，质量真的是太好了拯救者好评，这个价位买到这样的东西，质量真的是太好了拯救者好评，这个价位买到这样的东西，质量真的是太好了拯救者好评，这个价位买到这样的东西，质量真的是太好了拯救者好评，这个价位买到这样的东西，质量真的是太好了拯救者好评，这个价位买到这样的东西，质量真的是太好了,0,否,5,16G,1T,UNK
2816,jd_a34vsx4o7f7tx9,2026-01-17,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,提前做了开箱验机功课，国补电脑快递员送货当场拆箱扫外和箱机身的序列码，提交审核通过后才能交货。然后就只剩验机了，按照网上推荐的验机流程，验完没问题后再激活。其他方面都可以不计较，电竞本先测性能为主，黑悟空轻松流畅跑到快200帧，这价位已经完美满足需求了。,0,否,5,16G,1T,UNK
2817,#NAME?,2026-01-27,超能电竞Y7000P RTX5060/i7-14650HX/16G 1T,刚收到真的很惊艳了，一开始没想买y7000p，觉得y7000就可以，它俩差距就四百分辨还差挺多的，果断入手了升级版，终究逃不过哈哈哈哈。说实话用起来真的很顺滑，工作需要使用账号比较多，内存运行还可以，跟家里的台式比起来是新机香哈,0,该店铺购买≥2次,5,16G,1T,UNK
2818,3s677x6j9idrx6,2026-01-10,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,??这款设备玩游戏超流畅，图形处理真的强??！??灯光效果炫酷十足，运行速度飞快?！??快递包装严实，送货速度快??！??配送员服务贴心，体验满分??！?整体用下来非常满意，强烈推荐??！！,0,该店铺购买≥2次,5,16G,1T,UNK
2819,优雅永不过时鸭,2025-12-18,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,此用户未填写评价内容,1,否,5,16G,1T,UNK
2820,逛***起,2025-12-16,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,此用户未填写评价内容,0,否,5,16G,1T,UNK
2821,jd_68u434ch698s3n,2026-01-20,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,联想拯救者y7000p笔记本电脑 实物与描述的一样，质量相当好，卖家态度也好，有问必答，发货速度杠杠的，值得购买哦外观设计漂亮，尺寸大小合适，包装仔细完整，宝贝手感不错，感觉很好，发货速度快，服务态度一流，给力！5星好评！感觉挺好的，有图有真相。 收起,0,否,5,16G,1T,UNK
2822,不愿透露姓氏的刘貂毛,2026-01-02,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,新机快递无破损，也用工具验货了各项功能都没问题，外观比我之前买的戴尔要好很多，质感也感觉很高端大气，很满意这次买的游戏本,0,否,5,16G,1T,UNK
2823,九歌vcn,2026-01-22,超能电竞Y7000P RTX5070/i9-14900HX/16G 1T,物流很快 次日一大早就到了。包装很好，机器也很好 全新。系统流畅 不卡 玩游戏特别舒服，堪比台式电脑。特别好用,0,该店铺购买≥2次,5,16G,1T,UNK
2824,L***曦,2025-12-20,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,买了有一段时间了，当时看了挺久的。最后还是选择了这一款。没从外观，性能，价格方面都还挺合适的。再加上当时国补就更合适了。,0,否,5,16G,1T,UNK
2825,jd_ObzONZDLDQqt,2026-01-22,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,外观和预想的一样炫酷，性能方面也是没有失望，solidworks 局部建模计算渲染，迈达斯整体结构建模计算，都很流程，性价比蛮高的,0,否,5,16G,1T,UNK
2826,X逗逗长痘痘,2026-01-03,超能电竞Y7000P RTX5060/i7-14650HX/16G 1T,纠结许久锁定拯救者Y7000P，入手后直接封神，堪称校园党与多场景用户的全能旗舰！碳晶黑全金属机身质感拉满，A面LEGION亮面Logo搭配简约铭牌，线条利落不浮夸，带去图书馆自习、教室上课都低调得体，单手开合+180°屏幕展开设计，日常使用超便捷。,0,该店铺购买≥2次,5,16G,1T,UNK
2827,jd_gxia012,2026-01-20,超能电竞Y7000P RTX5060/i7-14650HX/16G 1T,给孩子买的大学用，之前苹果的，很多东西不能下载，很不方便，同学家长推介的，目前开来还是很不错的，希望一直好用。,0,该店铺购买≥2次,5,16G,1T,UNK
2828,j***7,2026-01-18,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,这个电脑运行流畅，接口丰富，扩展性强，显示效果好，游戏本性能很强劲，散热好，风扇声音很小，参加国补后超值，屏幕可以180度开合喜欢,0,该店铺购买≥2次,5,16G,1T,UNK
2829,落风_168,2026-01-18,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,游戏笔记本，厚度还是比较厚的。用起来还不错。之前用的win10系统，还要熟悉一段时间总用起来很流畅。值得拥有。,0,否,5,16G,1T,UNK
2830,jd_UkcXXZPWpKQY,2026-01-01,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,挺好，挺实用的。用起来比较丝滑，各方面达到了我的预期。用了一上午没感觉发烫严重,0,该店铺购买≥2次,5,16G,1T,UNK
2831,愈归良人,2025-10-17,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒棒,0,否,5,16G,1T,UNK
2832,jd_152209ukuu,2026-01-20,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,看了好久选择了联想拯救者y7000p，国补入手，外观好看，键盘手感也很棒，玩游戏毫无压力，屏幕清晰，十分不错,0,该店铺购买≥2次,5,16G,1T,UNK
2833,大大大变大变大大,2026-01-22,超能电竞R7000P RTX5060/R9 8940HX/16G 1T,包装保护：非常好，无划痕，泡沫保护到位外形外观：金属质感，非常好画面品质：画面清晰明亮，分辨率高运行速度：运行速度快??,0,否,4,16G,1T,UNK
2834,J***C,2026-01-21,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,联想拯救者y7000p笔记本电脑 实物与描述的一样，质量相当好，卖家态度也好，有问必答，发货速度杠杠的，值得购买哦外观设计漂亮，尺寸大小合适，包装仔细完整，宝贝手感不错，感觉很好，发货速度快，服务态度一流，给力!5星好评!感觉挺好的，有图有真相。,0,否,5,16G,1T,UNK
2835,uej85b3e3w4noz,2025-12-29,超能电竞Y7000P RTX5070/i9-14900HX/16G 1T,快递送货块快服务好，客服细心回复快。电脑外观大气简约时尚，性能强劲，黑色机身质感超好屏幕色彩鲜艳看久不累眼，追剧不卡顿，下载速度快性价比绝了，推荐给需要的朋友 非常非常非常非常非常好??,0,否,5,16G,1T,UNK
2836,Wise-FLY,2025-12-20,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,屏幕显示效果出色，色彩鲜艳细腻，视觉体验极佳，键盘手感舒适，长时间打字、操作也不疲劳。外观设计时尚大气，黑色经典百搭，在游戏本中便携性也算不错，偶尔带出去和朋友开黑也很方便,1,否,5,16G,1T,UNK
2837,jd_RIVlbBSoyMbk,2025-12-28,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,送货速度快，屏幕大，散热好，速度快，推荐给大家。,0,否,5,16G,1T,UNK
2838,jd_026ia19g85z8w4,2025-12-18,超能电竞Y7000P RTX5060/i9-14900HX/16G 1T,性能强劲：搭载高性能处理器和显卡，如英特尔酷睿或AMD锐龙处理器，NVIDIA RTX系列显卡，能够轻松应对大型游戏和复杂计算任务。散热优秀：采用高效散热系统，确保硬件在高负载下稳定运行。屏幕素质高：高分辨率、高刷新率，色彩表现出色，适合游戏和专业设计。接口丰富：提供多种接口类型，满足连接外部设备的需求。,0,否,5,16G,1T,UNK
2839,kleven-amy,2026-01-28,超能电竞Y7000P RTX5060/i7-14650HX/16G 1T,颜值与实力兼具，操作顺手不卡顿，办公娱乐皆适配。性能很强，运行各种软件和游戏都很流畅，高画质下也不卡顿。散热设计优秀，长时间使用温度控制得很好。屏幕色彩细腻，观感舒适，接口丰富，日常办公和娱乐都能轻松应对，非常值得入手。,0,否,5,16G,1T,UNK
